Year,Month,Day,Hour,Wind_Speed,Wind_Direction
2023,10,14,21,6.39,137.777
2023,10,14,22,6.64,144.535
2023,10,14,23,6.79,150.304
2023,10,15,0,7.05,154.63
2023,10,15,1,6.18,153.09
2023,10,15,2,6.32,150.058
2023,10,15,3,6.40,152.51
2023,10,15,4,6.22,157.27
2023,10,15,5,5.95,165.854
2023,10,15,6,5.57,171.698
2023,10,15,7,4.80,176.379
2023,10,15,8,3.87,170.629
2023,10,15,9,5.02,173.815
2023,10,15,10,6.77,186.673
2023,10,15,11,8.34,203.405
2023,10,15,12,7.72,211.678
2023,10,15,13,5.49,223.043
2023,10,15,14,4.04,224.953
2023,10,15,15,3.10,226.647
2023,10,15,16,2.50,218.653
2023,10,15,17,2.05,195.99
2023,10,15,18,3.36,156.537
2023,10,15,19,4.62,151.734
2023,10,15,20,5.73,153.133
2023,10,15,21,6.61,157.691
2023,10,15,22,7.13,164.171
2023,10,15,23,7.65,169.224
2023,10,16,0,8.09,172.286
2023,10,16,1,7.91,175
2023,10,16,2,8.23,175.246
2023,10,16,3,8.40,176.584
2023,10,16,4,7.84,181.183
2023,10,16,5,6.82,192.547
2023,10,16,6,5.90,210.067
2023,10,16,7,4.94,231.05
2023,10,16,8,4.06,234.813
2023,10,16,9,5.92,228.831
2023,10,16,10,8.35,224.035
2023,10,16,11,10.17,225.453
2023,10,16,12,9.75,231.274
2023,10,16,13,7.42,238.703
2023,10,16,14,5.34,241.084
2023,10,16,15,4.05,241.378
2023,10,16,16,3.05,235.418
2023,10,16,17,2.27,216.697
2023,10,16,18,2.93,174.575
2023,10,16,19,4.42,165.771
2023,10,16,20,5.28,165.611
2023,10,16,21,1.96,164.866
2023,10,16,22,2.94,0.160345
2023,10,16,23,6.68,8.45648
2023,10,17,0,6.80,23.3238
2023,10,17,1,6.49,36.0165
2023,10,17,2,5.44,41.0269
2023,10,17,3,4.34,39.661
2023,10,17,4,3.72,31.8886
2023,10,17,5,4.25,11.7057
2023,10,17,6,5.80,357.286
2023,10,17,7,5.99,359.253
2023,10,17,8,5.87,8.77095
2023,10,17,9,6.03,15.9413
2023,10,17,10,5.36,22.1116
2023,10,17,11,4.26,22.2552
2023,10,17,12,3.18,22.3601
2023,10,17,13,2.87,33.833
2023,10,17,14,2.64,47.3538
2023,10,17,15,3.24,54.9222
2023,10,17,16,4.61,61.5915
2023,10,17,17,6.40,58.7044
2023,10,17,18,8.12,53.7294
2023,10,17,19,10.42,53.0402
2023,10,17,20,11.79,57.4425
2023,10,17,21,11.58,64.0425
2023,10,17,22,10.67,72.69
2023,10,17,23,9.53,81.2119
2023,10,18,0,8.26,90.0145
2023,10,18,1,6.80,96.5648
2023,10,18,2,6.49,100.192
2023,10,18,3,6.31,105.256
2023,10,18,4,6.10,108.12
2023,10,18,5,5.83,108.646
2023,10,18,6,5.53,106.041
2023,10,18,7,4.98,104.077
2023,10,18,8,6.36,110.925
2023,10,18,9,8.25,122.33
2023,10,18,10,9.08,131.564
2023,10,18,11,9.37,141.31
2023,10,18,12,9.73,150.52
2023,10,18,13,9.77,155.104
2023,10,18,14,10.75,158.982
2023,10,18,15,11.31,156.195
2023,10,18,16,11.47,153.32
2023,10,18,17,9.33,147.955
2023,10,18,18,7.55,141.538
2023,10,18,19,7.30,139.223
2023,10,18,20,7.37,138.895
2023,10,18,21,7.60,140.359
2023,10,18,22,7.54,140.286
2023,10,18,23,7.28,140.127
2023,10,19,0,7.12,140.053
2023,10,19,1,6.91,131.631
2023,10,19,2,6.91,131.082
2023,10,19,3,6.93,132.357
2023,10,19,4,6.98,136.341
2023,10,19,5,7.24,144.388
2023,10,19,6,7.55,152.28
2023,10,19,7,7.48,158.166
2023,10,19,8,8.12,161.575
2023,10,19,9,10.58,163.297
2023,10,19,10,12.09,162.007
2023,10,19,11,13.30,164.028
2023,10,19,12,12.96,171.835
2023,10,19,13,12.64,172.121
2023,10,19,14,11.18,172.776
2023,10,19,15,10.20,170.968
2023,10,19,16,9.60,166.051
2023,10,19,17,8.21,155.86
2023,10,19,18,8.02,147.663
2023,10,19,19,8.26,148.858
2023,10,19,20,8.49,151.831
2023,10,19,21,8.62,156.288
2023,10,19,22,8.57,160.27
2023,10,19,23,8.48,163.553
2023,10,20,0,8.52,164.824
2023,10,20,1,7.79,167.8
2023,10,20,2,7.87,166.965
2023,10,20,3,8.15,166.473
2023,10,20,4,8.17,165.757
2023,10,20,5,8.28,166.57
2023,10,20,6,8.10,168.788
2023,10,20,7,7.44,171.634
2023,10,20,8,7.28,171.32
2023,10,20,9,9.74,169.863
2023,10,20,10,14.08,164.982
2023,10,20,11,14.26,165.341
2023,10,20,12,13.16,167.567
2023,10,20,13,11.43,163.808
2023,10,20,14,9.95,161.788
2023,10,20,15,8.76,157.26
2023,10,20,16,8.07,151.846
2023,10,20,17,6.99,145.426
2023,10,20,18,6.72,141.245
2023,10,20,19,7.22,144.097
2023,10,20,20,7.40,148.543
2023,10,20,21,7.43,153.763
2023,10,20,22,7.33,159.237
